Question,Category
Tell me about yourself.,Introduction
Please walk me through your resume.,Introduction
Please tell me about your professional experience in 2-3 minutes.,Introduction
What do you consider your biggest professional accomplishment to-date?,Behavioral
What’s the last thing you did that “wasn’t your job”?,Behavioral
What bad habits of other people drive you crazy?,Behavioral
What team are you the biggest fan of?,Behavioral
What do you always think takes too long?,Behavioral
What do you do when a project's requirements change at the last minute?,Behavioral
"If you have a degree, why did you choose to study what you studied?",Behavioral
"If you had a previous career, what did you like most about it? The least?",Behavioral
"If you had a previous career, do you think you will miss certain aspects of it after moving to a new career?",Behavioral
What’s the most challenging/exciting project you have done in the past two years?,Behavioral
Tell me about the most difficult challenge you’ve encountered and how you resolved it.,Behavioral
"Tell me about a time you were asked to do something you had never done before. How did you react, and what did you learn?",Behavioral
How would you describe yourself?,Behavioral
What are your long range and short range goals and objectives?,Behavioral
What do you see yourself doing five years from now? ,Behavioral
Where do you see yourself ten years from now?,Behavioral
What are your long range career objectives?,Behavioral
How do you plan to achieve your career goals?,Behavioral
What are the most important rewards you expect in your career?,Behavioral
How well do you work with people? Do you prefer working alone or in teams?,Behavioral
How would you evaluate your ability to deal with conflict?,Behavioral
Have you ever had difficulty with a supervisor? How did you resolve the conflict?,Behavioral
What's more important to you - the work itself or how much you're paid for doing it?,Behavioral
What do you consider to be your greatest strength and weakness?,Behavioral
How would a good friend describe you?,Behavioral
Describe the best job you've ever had.,Behavioral
Describe the best supervisor you've ever had.,Behavioral
What would your last boss say about your work performance?,Behavioral
What motivates you to go the extra mile on a project or job?,Behavioral
Why should I hire you?,Behavioral
What sets you apart from other candidates?,Behavioral
What qualifications do you have that make you successful in this career?,Behavioral
What do you think it takes to be successful in a company like ours?,Behavioral
In what ways do you think you can make a contribution to our company?,Behavioral
Do you have any hobbies? What do you do in your spare time?,Behavioral
What kinds of projects do you like to work on in your spare time?,Behavioral
What qualities should a successful manager possess?,Behavioral
What are the attributes of a good leader?,Behavioral
Which is more important: creativity or efficiency? Why?,Behavioral
What's the most recent book you've read?,Behavioral
Describe the relationship that should exist between the supervisor and those reporting to him or her?,Behavioral
What two or three accomplishments have given you the most satisfaction? Why?,Behavioral
"If you were hiring a job-seeker for this position, what qualities would you look for?",Behavioral
How would you describe your ideal workplace and team?,Behavioral
Do you have plans for continued study? An advanced degree?,Behavioral
In what kind of work environment are you most comfortable?,Behavioral
How do you work under pressure?,Behavioral
Are you good at delegating tasks?,Behavioral
What's one of the hardest decisions you've ever had to make?,Behavioral
How well do you adapt to new situations?,Behavioral
Why did you decide to seek a position in this company?,Behavioral
What can you tell us about our company?,Behavioral
What interests you about our products?,Behavioral
What do you know about our competitors?,Behavioral
What two or three things are most important to you in your job?,Behavioral
Are you seeking employment in a company of a certain size? Why?,Behavioral
What are your expectations regarding promotions and salary increases?,Behavioral
What are your expectations for salary?,Behavioral
What criteria are you using to evaluate the company for which you hope to work?,Behavioral
Do you have a geographic preference? Why?,Behavioral
Are you willing to relocate?,Behavioral
Are you willing to travel for the job?,Behavioral
Why do you think you might like to live in the community in which our company is located?,Behavioral
What major problem have you encountered and how did you deal with it?,Behavioral
What have you learned from your mistakes?,Behavioral
What have you accomplished that shows your initiative and willingness to work?,Behavioral
What motivates you?,Behavioral
What motivating mindset has helped propel you forward when overcoming challenges?,Behavioral
"Why are you leaving your current job, or why did you leave your last job?",Behavioral
What are your 3 greatest strengths/weaknesses?,Behavioral
"Give me an example of a time you took initiative, where you went above and beyond what was expected of you.",Behavioral
Tell me about a timed when you had to manage several tasks at the same time that will convince me that you are capable of multitasking.,Behavioral
"Describe a situation where you’ve had a conflict with another individual, and how you dealt with it.  What was the outcome?",Behavioral
What’s the biggest mistake you ever made and how did you try to fix it?,Behavioral
Do you like working in groups or alone? Tell Why?,Behavioral
What 3 words best describe you?,Behavioral
Tell me about a situation in which you have had to adjust to changes over which you had no control. How did you handle it?,Behavioral
Tell me about a time when you had to adjust to a classmate's or colleague's working style in order to complete a project or achieve your objectives.,Behavioral
Describe the project or situation that best demonstrates your analytical abilities. What was your role?,Behavioral
Tell me about a situation where you had to solve a difficult problem. What did you do? What was your thought process? What was the outcome? What do you wish you had done differently?,Behavioral
What steps do you follow to study a problem before making a decision? Why?,Behavioral
Have you ever had to sell an idea to your classmates or co-workers? How did you do it? Did they accept your idea?,Behavioral
Give me an example of a time when you were able to successfully communicate with another person even when that individual may not have personally liked you (or vice versa). How did you handle the situation? What obstacles or difficulties did you face? How did you deal with them?,Behavioral
"What, in your opinion, are the key ingredients in guiding and maintainating successful relationships?",Behavioral
Tell me about a problem that you've solved in a unique or unusual way. What was the outcome? Were you happy or satisfied with it?,Behavioral
Give me an example of when someone brought you a new idea that was odd or unusual. What did you do?,Behavioral
Tell me about a time when you had to make a decision without all the information you needed. How did you handle it? Why? Were you happy with the outcome?,Behavioral
Give me an example of a time when you had to be quick in coming to a decision. What obstacles did you face? What did you do?,Behavioral
What is the most difficult decision you've had to make? How did you arrive at your decision? What was the result?,Behavioral
Give me an example of an important goal which you have set and tell me how you reached it. What steps did you take? What obstacles did you encounter? How did you overcome the obstacles?,Behavioral
Tell me about a goal that you set that you did not reach. What steps did you take? What obstacles did you encounter? How did it make you feel?,Behavioral
Describe a project or idea (not necessarily your own) that was implemented primarily because of your efforts. What was your role? What was the outcome?,Behavioral
Describe a situation in which you recognized a potential problem as an opportunity. What did you do? What was the result? What do you wish you had done differently?,Behavioral
Tell me about a project you initiated. What did you do? Why? What was the outcome? Were you happy with the result?,Behavioral
What was the best idea you came up with during your professional or college career? How did you apply it?,Behavioral
Discuss a time when your integrity was challenged. How did you handle it?,Behavioral
Tell me about a time when you experienced a loss for doing what is right. How did you react?,Behavioral
Describe a situation where you found yourself dealing with someone who didn't like you. How did you handle it?,Behavioral
Tell me about a time when you had to work on a team with someone you did not get along with. What happened?,Behavioral
"Describe a situation where you had a conflict with another individual, and how you dealt with it. What was the outcome? How did you feel about it?",Behavioral
Tell me about a team project when you had to take the lead or take charge of the project? What did you do? How did you do it? What was the result?,Behavioral
What is the toughest group that you have had to get cooperation from? What were the obstacles? How did you handle the situation? What were the reactions of the group members? What was the end result?,Behavioral
Describe a situation that required you to do a number of things at the same time. How did you handle it? What was the result?,Behavioral
How do you prioritize projects and tasks when scheduling your time? Give me some examples.,Behavioral
How do you manage multiple competing deadlines or priorities?,Behavioral
Tell me about a time when you worked with a classmate or colleague who was not doing their share of the work. How did you handle it?,Behavioral
Describe a situation in which you had to arrive at a compromise or help others to compromise. What was your role? What steps did you take? What was the result?,Behavioral
Tell me about a time when you had to work on a team that did not get along. What happened? What role did you take? What was the result?,Behavioral
Tell me about a time you took a risk.,Behavioral
"Give me an example of a time you were wrong, and how you handled it.",Behavioral
"Everyone makes mistakes. Tell me about a time when you submitted work that you finalized, and then later realized you made a mistake. How did you correct it?",Behavioral
Do you prefer to work remotely or in person?,Behavioral
Why do you want to work for this company? Why this role?,Behavioral
Which of our company values resonates most with you? or What are your personal values?,Behavioral
"We're looking for someone with a bit more experience, so I'm not sure if we can move forward. (Respond with an abjection)",Behavioral
"In team projects, how do you divide work amongst the group?",Behavioral
Describe your ideal work culture.,Behavioral
What did you like about the work culture from your previous job? What didn't you like?,Behavioral
"Let's say you give your boss a time estimate for project completion, but then realize 3 weeks in that you are going to need much more time than you originally told your boss. What would you do?",Behavioral
Tell me about a time in which you failed and what you learned from it.,Behavioral
Tell me about the most difficult technical challenge you’ve encountered and how you resolved it.,Technical
What has been your biggest technical challenge to date?,Technical
Can you break down an algorithm you used on a project?,Technical
What tools have you used?,Technical
Describe a project in which you improved something.,Technical
How have you solved problems in a project you've done? Why did you chose this project? Why did you choose this model?,Technical
"If you could do one thing done differently on your project, what would it be?",Technical
Tell me about a technical challenge you faced during the course of a project,Technical
Tell me about a soft challenge you faced during the course of a project,Technical
Tell me about a time when you fixed or improved a process or procedure,Technical
"In your opinion, what makes good code?",Technical
"When writing code, how do you keep your code readable?",Technical
Which IDE do you prefer to use when coding?,Technical
What are your go-to websites for coding help when you need it?,Technical
What sparked your interest in software engineering or data science?,Technical
What are your primary motivations for becoming a Data Scientist/Software Engineer?,Technical
What aspects of the tech industry are you most interested in?,Technical
What do you love about the work of coding?,Technical
"What are a few technologies that have you recently been exposed that you find fascinating? Why do you find them fascinating?,",Technical
"What have you been able to accomplish recently, using new technology?",Technical
How do you keep up to date with the most recent technologies?,Technical
What project management experience do you have?,Technical
Tell me about a time in which you had to communicate technical findings to a non-technical audience.,Technical
"Do you want to mentor other data scientists, software engineers, or other incoming hires?",Technical
What has been your favorite project you've worked on? Why?,Technical
Which project did you learn the most from?,Technical
What technical projects are you currently working on right now? Why did you choose these projects?,Technical
How many piano tuners are there in Chicago?,Technical
Why are manholes round?,Technical
How many street lights are there in London?,Technical
What's your favorite statistical distribution? Why? Explain how you've used it in your data science work.,Statistics
"What's a confidence interval? Explain how you might calculate one for a mean, using two very different methods.",Statistics
"Explain, step-by-step, how you would perform a frequentist hypothesis test.",Statistics
"Our last hypothesis test was underpowered. What's statistical power? If we were to try our test again, what could we do to increase our power?",Statistics
What's the difference between probability and statistics?,Statistics
What's a p value?,Statistics
Compare and contrast frequentist vs bayesian statistics.,Statistics
When would you use a median value as opposed to a mean value to measure central tendency?,Statistics
"What is the probability that, in a normal distribution, an observed value occurs within 1 standard deviation of the mean? 2 standard deviations? 3?",Statistics
What significance level do you usually use for a hypothesis test? Can you think of occasions in which you might want to increase it? Decrease?,Statistics
What is your experience with A/B testing?,Statistics
What is the difference between a population and a sample?,Statistics
Can you give an example of how you've validated your data in a past project?,Data Science
Explain how you have used version control in your data science projects. Have you been able to collaborate on developing code with a partner? How about a group? How did you do it? What workflow did you use?,Data Science
What have you used as your development environment? In your opinion when should scripts and Jupyter notebooks be used?,Data Science
What data structures do you find useful in Python 3? Can you give examples when you might use each one?,Data Science
"In your Python code, when do you choose to us a functional vs. object oriented approach? What are the functional and object-oriented paradigms?",Data Science
How do you define Big Data? What do you think makes it difficult to work with? Can you give an example of how you have worked with Big Data in the past?,Data Science
Compare and contrast SQL and noSQL databases. What is one major organizational difference between the two? What data do you consider ideal for each? How have you used each type of database?,Data Science
Explain the concept of MapReduce in simple to understand language. How does MapReduce help analyze data that's distributed?,Data Science
"Our company presently uses MapReduce, but we've heard that Spark is better. Why is that? How does Spark work with and return results on distributed data?",Data Science
What is the largest dataset you have ever worked with?,Data Science
Give an example of when you've applied linear regression in the past where interpretability of the coefficients was a priority. What did you do to ensure that you had reliable coefficients?,Data Science
"What is the difference between linear and logistic regression, and how do you interpret the coefficients for each type of model?",Data Science
"Explain how regularization helps prevent overfitting in a linear/logistic regression. What are the different types of regularization, and how is the cost function different for each type?",Data Science
"In logistic regression, maximum likelihood estimation is used to determine the feature coefficients. Can you explain, at a high level, how MLE works? Feel free to make this specific to a binary classifier.",Data Science
What metrics might you use to describe how well your linear regression fits the data. What are the pro and cons of each metric?,Data Science
Imagine you’re in a presentation with a client. How would you explain the concept of linear regression to them? ,Data Science
What is the bias/variance trade-off in supervised machine learning? What process do you follow to ensure your model generalizes well to unseen data?,Data Science
Explain how the decision tree (classification) algorithm works.,Data Science
How does a random forest differ from a single decision tree? Why are its predictions more generalizable?,Data Science
"What is an ensemble method? What ensemble models do you know? How does each achieve a low-bias, low-variance prediction?",Data Science
You're working on a classification model and getting poor accuracy on your test set. What next steps would you consider?,Data Science
Describe a text processing project you've completed. How did you featurize the data?,Data Science
"Given a dataset with 1000s of features, what can you do to reduce its dimensionality?",Data Science
What's the difference between hard and soft clustering. What models might you try in each case?,Data Science
How would you explain a latent topic to a layperson?,Data Science
How do you evaluate the performance of an unsupervised model?,Data Science
How is string interpolation performed?,Data Science
What is the difference between “is” and “==”?,Data Science
Does python call by reference or call by value?,Data Science
What is your favorite library in Python?,Data Science
How would you round a number to 3 decimal places?,Data Science
What is the difference between dictionaries and JSON?,Data Science
How would you combine two lists into a list of tuples?,Data Science
"How can you sort a dictionary by key, alphabetically?",Data Science
Why would you use enumerate() when iterating on a sequence?,Data Science
Return a list of keys from a dictionary.,Data Science
What are the advantages of Amazon Web Services (AWS) over other cloud services?,Data Science
How much have you used Amazon Web Services (AWS)? What do you know about the services it offers?,Data Science
What Database Management Systems (DBMS) have you used?,Data Science
Can you provide an example of a time you used code to automate a process or procedure?,Data Science
How would you combine three different data sources into one?,Data Science
Can you explain a normal data transportation process?,Data Science
How would you explain what a data warehouse is in simple terms? Technical terms?,Data Science
"Imagine you have two datasets: One consisting of the population of each state, and another consisting of the percentage of people under age 18 per state. How would you combine these two datasets to give a dataset with columns of the population under age 18 and over 18 per state? Describe using Python, R, or SQL.",Data Science
"We have a database consisting of inventory in various different warehouses. Columns are warehouse ID, item name, color, and size. What would you enter as a SQL query to get the number of black tables in warehouse id #586?",Data Science
"Do you know R? If not, would you be willing to learn it? When do you think R would have advantages over Python? Python over R?",Data Science
Which project of yours surprised you the most with the results you obtained?,Data Science
What steps did you take?,Probes
What action did you take?,Probes
What happened after that?,Probes
What did you say?,Probes
How did he/she react?,Probes
How did you handle that?,Probes
What was your reaction?,Probes
How did you feel about that?,Probes
What was the outcome/result?,Probes
Were you happy with that outcome/result?,Probes
What do you wish you had done differently?,Probes
What did you learn from that?,Probes
How did you resolve that?,Probes
What was the outcome of that?,Probes
Why did you decide to do that?,Probes
What was your logic?,Probes
What was your reasoning?,Probes
Where were you when this happened?,Probes
What time was it?,Probes
Who else was involved? Tell me more about your interaction with that person.,Probes
What was your role?,Probes
What obstacles did you face?,Probes
What were you thinking at that point?,Probes
Lead me through your decision process.,Probes
How did you prepare for that?,Probes
What did you discover at the end? ,Probes
Did this confirm your assumptions?,Probes
What lesson or take-away do you now bring with you to problems that you face?,Probes